Analyse from dana.cpp: 
Num_files = 3; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 200 * 10000 (Num_frames * steps_frame )
time	Ang[Fave][P000]	Ang[F001][P000]	Ang[F002][P000]	Ang[F003][P000]	
aot	0 	0 	0 	0 	
100	-17.7379 	-17.7379 	-17.7379 	-17.7379 	
200	-18.2069 	-18.2069 	-18.2069 	-18.2069 	
300	-18.544 	-18.544 	-18.544 	-18.544 	
400	-19.5469 	-19.5469 	-19.5469 	-19.5469 	
500	-20.1981 	-20.1981 	-20.1981 	-20.1981 	
600	-20.9782 	-20.9782 	-20.9782 	-20.9782 	
700	-18.53 	-18.53 	-18.53 	-18.53 	
800	-20.4625 	-20.4625 	-20.4625 	-20.4625 	
900	-20.4687 	-20.4687 	-20.4687 	-20.4687 	
1000	-20.1783 	-20.1783 	-20.1783 	-20.1783 	
1100	-17.7714 	-17.7714 	-17.7714 	-17.7714 	
1200	-20.9824 	-20.9824 	-20.9824 	-20.9824 	
1300	-21.582 	-21.582 	-21.582 	-21.582 	
1400	-20.3004 	-20.3004 	-20.3004 	-20.3004 	
1500	-18.9373 	-18.9373 	-18.9373 	-18.9373 	
1600	-20.1149 	-20.1149 	-20.1149 	-20.1149 	
1700	-20.1155 	-20.1155 	-20.1155 	-20.1155 	
1800	-19.3215 	-19.3215 	-19.3215 	-19.3215 	
1900	-20.7219 	-20.7219 	-20.7219 	-20.7219 	
2000	-20.0014 	-20.0014 	-20.0014 	-20.0014 	
2100	-19.4117 	-19.4117 	-19.4117 	-19.4117 	
2200	-16.9038 	-16.9038 	-16.9038 	-16.9038 	
2300	-16.3516 	-16.3516 	-16.3516 	-16.3516 	
2400	-17.5264 	-17.5264 	-17.5264 	-17.5264 	
2500	-17.2959 	-17.2959 	-17.2959 	-17.2959 	
2600	-17.4211 	-17.4211 	-17.4211 	-17.4211 	
2700	-16.5242 	-16.5242 	-16.5242 	-16.5242 	
2800	-17.5371 	-17.5371 	-17.5371 	-17.5371 	
2900	-19.6454 	-19.6454 	-19.6454 	-19.6454 	
3000	-18.5152 	-18.5152 	-18.5152 	-18.5152 	
3100	-18.2744 	-18.2744 	-18.2744 	-18.2744 	
3200	-19.4482 	-19.4482 	-19.4482 	-19.4482 	
3300	-18.3839 	-18.3839 	-18.3839 	-18.3839 	
3400	-19.1554 	-19.1554 	-19.1554 	-19.1554 	
3500	-18.5803 	-18.5803 	-18.5803 	-18.5803 	
3600	-18.1548 	-18.1548 	-18.1548 	-18.1548 	
3700	-18.3946 	-18.3946 	-18.3946 	-18.3946 	
3800	-17.4492 	-17.4492 	-17.4492 	-17.4492 	
3900	-17.284 	-17.284 	-17.284 	-17.284 	
4000	-18.1405 	-18.1405 	-18.1405 	-18.1405 	
4100	-16.4958 	-16.4958 	-16.4958 	-16.4958 	
4200	-15.6387 	-15.6387 	-15.6387 	-15.6387 	
4300	-15.4786 	-15.4786 	-15.4786 	-15.4786 	
4400	-16.9925 	-16.9925 	-16.9925 	-16.9925 	
4500	-18.1417 	-18.1417 	-18.1417 	-18.1417 	
4600	-18.5832 	-18.5832 	-18.5832 	-18.5832 	
4700	-17.3442 	-17.3442 	-17.3442 	-17.3442 	
4800	-19.6588 	-19.6588 	-19.6588 	-19.6588 	
4900	-17.9964 	-17.9964 	-17.9964 	-17.9964 	
5000	-17.5967 	-17.5967 	-17.5967 	-17.5967 	
5100	-16.512 	-16.512 	-16.512 	-16.512 	
