time msd[001] msd[002] msd[003] ave
5 0.00666367 0.00666367 0.00669455 0.00667396 
10 0.0128827 0.0128827 0.0131489 0.0129714 
15 0.0188476 0.0188476 0.0196419 0.0191124 
20 0.0245917 0.0245917 0.0260122 0.0250652 
25 0.0303397 0.0303397 0.0322153 0.0309649 
30 0.0361031 0.0361031 0.0383492 0.0368518 
35 0.0419412 0.0419412 0.0446251 0.0428359 
40 0.0482963 0.0482963 0.0509943 0.0491956 
45 0.0547524 0.0547524 0.0577681 0.0557576 
50 0.0615331 0.0615331 0.0648445 0.0626369 
55 0.0681968 0.0681968 0.0719469 0.0694468 
60 0.0750451 0.0750451 0.0791424 0.0764109 
65 0.0820511 0.0820511 0.0865997 0.0835673 
70 0.0893814 0.0893814 0.0941446 0.0909691 
75 0.0969194 0.0969194 0.101778 0.098539 
80 0.104746 0.104746 0.109647 0.10638 
85 0.112778 0.112778 0.117711 0.114422 
90 0.120894 0.120894 0.126 0.122596 
95 0.129293 0.129293 0.134244 0.130943 
100 0.137669 0.137669 0.142658 0.139332 
105 0.146312 0.146312 0.151321 0.147982 
110 0.155214 0.155214 0.160479 0.156969 
115 0.16453 0.16453 0.17006 0.166373 
120 0.174164 0.174164 0.179912 0.17608 
125 0.184125 0.184125 0.190247 0.186166 
130 0.194413 0.194413 0.200941 0.196589 
135 0.204926 0.204926 0.212079 0.20731 
140 0.21558 0.21558 0.223434 0.218198 
145 0.226464 0.226464 0.235005 0.229311 
150 0.237714 0.237714 0.246795 0.240741 
155 0.249244 0.249244 0.258762 0.252417 
160 0.260867 0.260867 0.27103 0.264255 
165 0.272823 0.272823 0.283427 0.276358 
170 0.28515 0.28515 0.296347 0.288882 
175 0.297853 0.297853 0.309496 0.301734 
180 0.310946 0.310946 0.323085 0.314992 
185 0.324377 0.324377 0.33683 0.328528 
190 0.338221 0.338221 0.351011 0.342485 
195 0.352568 0.352568 0.365628 0.356921 
200 0.367093 0.367093 0.38045 0.371545 
205 0.381903 0.381903 0.395465 0.386424 
210 0.396826 0.396826 0.410662 0.401438 
215 0.411866 0.411866 0.426024 0.416585 
220 0.427287 0.427287 0.441802 0.432125 
225 0.443137 0.443137 0.458042 0.448105 
230 0.459217 0.459217 0.474479 0.464305 
235 0.475735 0.475735 0.491066 0.480846 
240 0.492386 0.492386 0.507825 0.497533 
245 0.509341 0.509341 0.52497 0.514551 
250 0.52662 0.52662 0.54271 0.531983 
255 0.544118 0.544118 0.560692 0.549643 
260 0.561966 0.561966 0.578885 0.567605 
265 0.58013 0.58013 0.597276 0.585845 
270 0.598435 0.598435 0.61573 0.6042 
275 0.617142 0.617142 0.634425 0.622903 
280 0.636279 0.636279 0.653448 0.642002 
285 0.655566 0.655566 0.672945 0.661359 
290 0.675079 0.675079 0.692745 0.680968 
295 0.694892 0.694892 0.712995 0.700926 
300 0.715262 0.715262 0.733655 0.721393 
305 0.736111 0.736111 0.754854 0.742359 
310 0.757108 0.757108 0.776122 0.763446 
315 0.778271 0.778271 0.797632 0.784725 
320 0.799771 0.799771 0.819568 0.80637 
325 0.821561 0.821561 0.841685 0.828269 
330 0.844029 0.844029 0.864334 0.850797 
335 0.866781 0.866781 0.887323 0.873628 
340 0.889648 0.889648 0.910567 0.896621 
345 0.91274 0.91274 0.934159 0.91988 
350 0.936235 0.936235 0.957912 0.943461 
355 0.959872 0.959872 0.981989 0.967244 
360 0.983928 0.983928 1.00647 0.991441 
365 1.00816 1.00816 1.03105 1.01579 
370 1.03258 1.03258 1.05603 1.04039 
375 1.05716 1.05716 1.08121 1.06518 
380 1.08217 1.08217 1.10679 1.09038 
