Analyse from dana.cpp: 
Num_files = 3; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 200 * 10000 (Num_frames * steps_frame )
time	MSD[Fave][P000]	MSD[Fave][P001]	MSD[Fave][P040]	MSD[Fave][P080]	
100	0.016346 	1.31351 	0.629547 	0.199098 	
200	0.0338655 	3.88804 	2.11412 	0.368103 	
300	0.0586865 	7.74475 	4.37442 	0.530804 	
400	0.0842806 	12.7221 	7.34275 	0.733231 	
500	0.116688 	18.896 	11.0325 	0.934999 	
600	0.156108 	26.2491 	15.2695 	1.12522 	
700	0.199672 	34.3411 	20.1302 	1.31703 	
800	0.244325 	43.0161 	25.449 	1.53849 	
900	0.292926 	52.3037 	31.1794 	1.82586 	
1000	0.114423 	20.8407 	12.3901 	0.710554 	
1100	0.395302 	73.4938 	43.488 	2.4276 	
1200	0.450611 	84.8977 	50.1269 	2.75014 	
1300	0.505333 	96.7163 	56.9766 	3.09444 	
1400	0.563169 	109.104 	63.9174 	3.50628 	
1500	0.618163 	121.756 	70.9762 	3.92399 	
1600	0.674516 	134.292 	78.1186 	4.311 	
1700	0.733372 	147.21 	85.3224 	4.71129 	
1800	0.794782 	160.175 	92.6516 	5.1497 	
1900	0.857159 	173.289 	100.094 	5.57769 	
2000	0.307152 	62.1909 	35.8037 	2.02509 	
2100	0.984539 	199.677 	114.78 	6.61145 	
2200	1.04726 	212.883 	122.002 	7.16938 	
2300	1.11023 	226.194 	129.144 	7.68425 	
2400	1.17213 	239.292 	136.006 	8.15673 	
2500	1.2321 	251.687 	142.599 	8.64707 	
2600	1.28839 	263.805 	148.554 	9.18122 	
2700	1.34377 	275.481 	154.08 	9.71283 	
2800	1.39909 	286.879 	158.839 	10.3042 	
2900	1.45628 	297.728 	163.016 	10.8872 	
3000	0.502279 	102.423 	55.5114 	3.80436 	
3100	1.55688 	315.678 	169.761 	11.926 	
3200	1.60645 	323.246 	172.093 	12.4915 	
3300	1.65851 	329.982 	173.667 	13.0175 	
3400	1.7069 	335.986 	174.727 	13.5469 	
3500	1.74232 	341.407 	175.317 	14.109 	
3600	1.77844 	346.547 	175.249 	14.605 	
3700	1.81179 	350.628 	174.635 	15.1301 	
3800	1.84244 	353.725 	173.414 	15.6815 	
3900	1.87162 	355.956 	171.448 	16.2744 	
4000	0.632093 	119.193 	56.2668 	5.5968 	
4100	1.92343 	358.427 	165.88 	17.3576 	
4200	1.94128 	357.915 	162.667 	17.9186 	
4300	1.95316 	356.452 	158.858 	18.3658 	
4400	1.96837 	353.85 	154.807 	18.8555 	
4500	1.99035 	350.145 	150.633 	19.3845 	
4600	2.01292 	345.054 	146.53 	19.8791 	
4700	2.03545 	338.44 	142.279 	20.3393 	
4800	2.06009 	330.591 	137.883 	20.9204 	
4900	2.08178 	321.809 	133.197 	21.4905 	
5000	0.700641 	104.046 	42.7792 	7.2952 	
5100	2.12332 	301.356 	123.111 	22.3031 	
5200	2.1421 	289.94 	117.322 	22.6432 	
5300	2.15173 	278.046 	111.395 	22.9847 	
5400	2.16529 	266.001 	105.384 	23.3846 	
5500	2.17753 	253.677 	99.4152 	23.6503 	
5600	2.1935 	241.096 	93.3656 	23.9286 	
5700	2.20057 	227.962 	87.4895 	24.2583 	
5800	2.21388 	214.858 	81.342 	24.6237 	
5900	2.22146 	201.985 	75.3556 	24.9151 	
6000	0.742668 	63.0785 	23.1892 	8.41886 	
6100	2.23183 	176.286 	64.1969 	25.4743 	
6200	2.23684 	163.1 	58.8897 	25.7073 	
6300	2.24267 	150.177 	53.8374 	25.8435 	
6400	2.24252 	137.613 	49.0043 	25.9867 	
6500	2.22945 	125.501 	44.3181 	26.2259 	
6600	2.2151 	113.866 	40.0028 	26.5249 	
6700	2.19968 	102.597 	35.957 	26.7888 	
6800	2.1772 	91.5049 	32.1624 	27.0946 	
6900	2.15282 	80.6095 	28.7283 	27.3591 	
7000	0.709586 	23.4019 	8.53821 	9.18402 	
7100	2.10653 	60.2411 	22.9899 	27.6657 	
7200	2.07656 	50.7507 	21.0263 	27.75 	
7300	2.04505 	41.997 	19.5271 	27.815 	
7400	2.0091 	34.0572 	18.688 	27.9156 	
7500	1.98584 	27.19 	18.4415 	28.002 	
7600	1.97483 	21.3593 	18.6467 	28.2026 	
7700	1.97124 	16.7126 	19.4087 	28.378 	
7800	1.96035 	13.4524 	20.7443 	28.4757 	
7900	1.95733 	11.3085 	22.629 	28.6249 	
8000	0.656456 	3.45209 	8.3856 	9.56726 	
8100	1.99131 	10.5739 	28.0309 	28.7888 	
8200	2.01676 	12.0906 	31.3777 	28.8617 	
8300	2.03999 	14.7281 	35.4006 	28.9609 	
8400	2.06844 	18.31 	39.8375 	29.0216 	
8500	2.10568 	22.7979 	44.4991 	29.0927 	
8600	2.14398 	28.1343 	49.1046 	29.1164 	
8700	2.18344 	34.3955 	53.7446 	29.1599 	
8800	2.22163 	41.5271 	58.4187 	29.1638 	
8900	2.25948 	49.232 	63.1985 	29.162 	
9000	0.764687 	19.2607 	22.5845 	9.72066 	
9100	2.3275 	66.67 	71.9873 	29.1946 	
9200	2.35585 	76.1798 	76.039 	29.1732 	
9300	2.37535 	85.9103 	79.8723 	29.1432 	
9400	2.40197 	95.631 	83.476 	29.1385 	
9500	2.43686 	106.105 	86.9942 	29.1934 	
9600	2.47383 	116.848 	90.2833 	29.152 	
9700	2.50835 	127.847 	93.3098 	28.9927 	
9800	2.55604 	139.664 	95.9547 	28.8377 	
9900	2.60644 	151.605 	98.425 	28.6674 	
10000	0.884658 	54.4755 	33.5897 	9.59378 	
