Analyse from dana.cpp: 
Num_files = 3; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 200 * 10000 (Num_frames * steps_frame )
time	Re[Fave][P000]	Re[F001][P000]	Re[F002][P000]	Re[F003][P000]	
aot	0 	0 	0 	0 	
100	6.44017 	6.44017 	6.44017 	6.44017 	
200	6.21779 	6.21779 	6.21779 	6.21779 	
300	5.73495 	5.73495 	5.73495 	5.73495 	
400	5.35473 	5.35473 	5.35473 	5.35473 	
500	5.5789 	5.5789 	5.5789 	5.5789 	
600	5.70406 	5.70406 	5.70406 	5.70406 	
700	6.16501 	6.16501 	6.16501 	6.16501 	
800	6.05428 	6.05428 	6.05428 	6.05428 	
900	6.75571 	6.75571 	6.75571 	6.75571 	
1000	5.75609 	5.75609 	5.75609 	5.75609 	
1100	5.69946 	5.69946 	5.69946 	5.69946 	
1200	5.20598 	5.20598 	5.20598 	5.20598 	
1300	5.36638 	5.36638 	5.36638 	5.36638 	
1400	5.0645 	5.0645 	5.0645 	5.0645 	
1500	5.03814 	5.03814 	5.03814 	5.03814 	
1600	5.14404 	5.14404 	5.14404 	5.14404 	
1700	5.35974 	5.35974 	5.35974 	5.35974 	
1800	5.56792 	5.56792 	5.56792 	5.56792 	
1900	5.47418 	5.47418 	5.47418 	5.47418 	
2000	5.45972 	5.45972 	5.45972 	5.45972 	
2100	5.50852 	5.50852 	5.50852 	5.50852 	
2200	5.45565 	5.45565 	5.45565 	5.45565 	
2300	5.18738 	5.18738 	5.18738 	5.18738 	
2400	4.89828 	4.89828 	4.89828 	4.89828 	
2500	5.0006 	5.0006 	5.0006 	5.0006 	
2600	4.85218 	4.85218 	4.85218 	4.85218 	
2700	4.47292 	4.47292 	4.47292 	4.47292 	
2800	3.77077 	3.77077 	3.77077 	3.77077 	
2900	3.38633 	3.38633 	3.38633 	3.38633 	
3000	3.41413 	3.41413 	3.41413 	3.41413 	
3100	3.54845 	3.54845 	3.54845 	3.54845 	
3200	3.57538 	3.57538 	3.57538 	3.57538 	
3300	3.76043 	3.76043 	3.76043 	3.76043 	
3400	4.14085 	4.14085 	4.14085 	4.14085 	
3500	4.03744 	4.03744 	4.03744 	4.03744 	
3600	3.26463 	3.26463 	3.26463 	3.26463 	
3700	3.49015 	3.49015 	3.49015 	3.49015 	
3800	3.70762 	3.70762 	3.70762 	3.70762 	
3900	4.31224 	4.31224 	4.31224 	4.31224 	
4000	3.60579 	3.60579 	3.60579 	3.60579 	
4100	3.31015 	3.31015 	3.31015 	3.31015 	
4200	3.48708 	3.48708 	3.48708 	3.48708 	
4300	3.1478 	3.1478 	3.1478 	3.1478 	
4400	3.00637 	3.00637 	3.00637 	3.00637 	
4500	2.8695 	2.8695 	2.8695 	2.8695 	
4600	3.17134 	3.17134 	3.17134 	3.17134 	
4700	3.71497 	3.71497 	3.71497 	3.71497 	
4800	4.08714 	4.08714 	4.08714 	4.08714 	
4900	3.95414 	3.95414 	3.95414 	3.95414 	
5000	3.89828 	3.89828 	3.89828 	3.89828 	
5100	4.34078 	4.34078 	4.34078 	4.34078 	
5200	4.14146 	4.14146 	4.14146 	4.14146 	
5300	4.59769 	4.59769 	4.59769 	4.59769 	
5400	3.80645 	3.80645 	3.80645 	3.80645 	
5500	4.1011 	4.1011 	4.1011 	4.1011 	
5600	4.04658 	4.04658 	4.04658 	4.04658 	
5700	4.73272 	4.73272 	4.73272 	4.73272 	
5800	5.1206 	5.1206 	5.1206 	5.1206 	
5900	4.32155 	4.32155 	4.32155 	4.32155 	
6000	4.77663 	4.77663 	4.77663 	4.77663 	
6100	5.02607 	5.02607 	5.02607 	5.02607 	
6200	4.64323 	4.64323 	4.64323 	4.64323 	
6300	4.90991 	4.90991 	4.90991 	4.90991 	
6400	4.5178 	4.5178 	4.5178 	4.5178 	
6500	4.79469 	4.79469 	4.79469 	4.79469 	
6600	4.89666 	4.89666 	4.89666 	4.89666 	
6700	4.73915 	4.73915 	4.73915 	4.73915 	
6800	4.07122 	4.07122 	4.07122 	4.07122 	
6900	3.53533 	3.53533 	3.53533 	3.53533 	
7000	3.56582 	3.56582 	3.56582 	3.56582 	
7100	3.06686 	3.06686 	3.06686 	3.06686 	
7200	2.53439 	2.53439 	2.53439 	2.53439 	
7300	2.73876 	2.73876 	2.73876 	2.73876 	
7400	2.51588 	2.51588 	2.51588 	2.51588 	
7500	3.49064 	3.49064 	3.49064 	3.49064 	
7600	3.58313 	3.58313 	3.58313 	3.58313 	
7700	4.24893 	4.24893 	4.24893 	4.24893 	
7800	5.54328 	5.54328 	5.54328 	5.54328 	
7900	5.52666 	5.52666 	5.52666 	5.52666 	
8000	6.93335 	6.93335 	6.93335 	6.93335 	
8100	7.27787 	7.27787 	7.27787 	7.27787 	
8200	7.96248 	7.96248 	7.96248 	7.96248 	
8300	8.08212 	8.08212 	8.08212 	8.08212 	
8400	7.81875 	7.81875 	7.81875 	7.81875 	
8500	8.13549 	8.13549 	8.13549 	8.13549 	
8600	9.06813 	9.06813 	9.06813 	9.06813 	
8700	9.18706 	9.18706 	9.18706 	9.18706 	
8800	9.31387 	9.31387 	9.31387 	9.31387 	
8900	9.67212 	9.67212 	9.67212 	9.67212 	
9000	9.41888 	9.41888 	9.41888 	9.41888 	
9100	9.60533 	9.60533 	9.60533 	9.60533 	
9200	9.84519 	9.84519 	9.84519 	9.84519 	
9300	10.1831 	10.1831 	10.1831 	10.1831 	
9400	11.1632 	11.1632 	11.1632 	11.1632 	
9500	10.552 	10.552 	10.552 	10.552 	
9600	10.7702 	10.7702 	10.7702 	10.7702 	
9700	11.2155 	11.2155 	11.2155 	11.2155 	
9800	10.8044 	10.8044 	10.8044 	10.8044 	
9900	10.9567 	10.9567 	10.9567 	10.9567 	
10000	10.7185 	10.7185 	10.7185 	10.7185 	
10100	10.6474 	10.6474 	10.6474 	10.6474 	
10200	10.5305 	10.5305 	10.5305 	10.5305 	
10300	9.92826 	9.92826 	9.92826 	9.92826 	
10400	9.78545 	9.78545 	9.78545 	9.78545 	
10500	9.63439 	9.63439 	9.63439 	9.63439 	
10600	9.82269 	9.82269 	9.82269 	9.82269 	
10700	9.28322 	9.28322 	9.28322 	9.28322 	
10800	8.80781 	8.80781 	8.80781 	8.80781 	
10900	7.88327 	7.88327 	7.88327 	7.88327 	
11000	7.57881 	7.57881 	7.57881 	7.57881 	
11100	7.50528 	7.50528 	7.50528 	7.50528 	
11200	7.33592 	7.33592 	7.33592 	7.33592 	
11300	6.9489 	6.9489 	6.9489 	6.9489 	
11400	6.81866 	6.81866 	6.81866 	6.81866 	
11500	7.02412 	7.02412 	7.02412 	7.02412 	
11600	7.45427 	7.45427 	7.45427 	7.45427 	
11700	6.90938 	6.90938 	6.90938 	6.90938 	
11800	6.62882 	6.62882 	6.62882 	6.62882 	
11900	5.9343 	5.9343 	5.9343 	5.9343 	
12000	5.44724 	5.44724 	5.44724 	5.44724 	
12100	5.46512 	5.46512 	5.46512 	5.46512 	
