time msd[001] ave
5 0.000417095 0.000397699 
10 0.0010115 0.000932657 
15 0.00177797 0.00160443 
20 0.00269381 0.00238931 
25 0.00373646 0.0032647 
30 0.00492818 0.00425293 
35 0.00628432 0.00537266 
40 0.00778819 0.00660652 
45 0.00946941 0.00799118 
50 0.0112884 0.00948673 
55 0.0132518 0.0110931 
60 0.0153867 0.0128408 
65 0.0176691 0.0147181 
70 0.0200869 0.0166963 
75 0.0226426 0.0187872 
80 0.0253334 0.0209993 
85 0.0282007 0.0233524 
90 0.0312046 0.0258127 
95 0.0343407 0.0284003 
100 0.0376261 0.0311028 
105 0.0410291 0.0339082 
110 0.0445592 0.0367962 
115 0.0482026 0.0397712 
120 0.0519958 0.0428568 
125 0.05594 0.0460781 
130 0.0600083 0.0493884 
135 0.0642105 0.0528027 
140 0.0685626 0.0563296 
145 0.0730416 0.0599409 
150 0.0776423 0.0636305 
155 0.082366 0.0673852 
160 0.0872258 0.071206 
165 0.0922272 0.0751136 
170 0.0973372 0.0791263 
175 0.102593 0.0832928 
180 0.107956 0.0875757 
185 0.113452 0.0919688 
190 0.119097 0.0964889 
195 0.124835 0.101118 
200 0.130691 0.105864 
205 0.1367 0.110727 
210 0.142895 0.115713 
215 0.149193 0.120821 
220 0.155614 0.126107 
225 0.162136 0.131523 
230 0.168777 0.13706 
235 0.175503 0.142718 
240 0.182335 0.148495 
245 0.189308 0.154407 
250 0.196426 0.160475 
255 0.203672 0.166705 
260 0.211088 0.173091 
265 0.218671 0.179597 
270 0.226433 0.186255 
275 0.234337 0.19298 
280 0.242396 0.199816 
285 0.250564 0.206753 
290 0.258876 0.213755 
295 0.26728 0.220845 
300 0.275844 0.228043 
305 0.28455 0.23537 
310 0.293379 0.242812 
315 0.302338 0.250357 
320 0.311444 0.258007 
325 0.320743 0.265766 
330 0.330261 0.273624 
335 0.339876 0.281626 
340 0.349623 0.289803 
345 0.359529 0.298094 
350 0.369575 0.306517 
355 0.379782 0.315066 
360 0.390109 0.323734 
365 0.400566 0.332519 
370 0.411095 0.341441 
375 0.421822 0.350494 
380 0.432689 0.359608 
385 0.443749 0.368859 
390 0.454999 0.378218 
395 0.466393 0.387687 
400 0.477928 0.397226 
405 0.489662 0.406874 
410 0.50149 0.416613 
415 0.51347 0.426401 
420 0.525523 0.436332 
425 0.537736 0.446369 
430 0.550115 0.456516 
435 0.562676 0.466777 
440 0.5753 0.477133 
445 0.588066 0.487617 
450 0.60093 0.498271 
455 0.613942 0.509043 
460 0.627058 0.51995 
465 0.640331 0.530959 
470 0.653723 0.542017 
475 0.667333 0.553149 
480 0.680987 0.564371 
485 0.694791 0.575712 
490 0.708743 0.587171 
495 0.72282 0.598786 
500 0.736926 0.610519 
505 0.751269 0.622337 
510 0.765803 0.634197 
515 0.780334 0.646185 
520 0.794997 0.658271 
525 0.809736 0.670502 
530 0.824607 0.682853 
535 0.83967 0.695283 
540 0.854824 0.707849 
545 0.870237 0.720543 
550 0.885718 0.733318 
555 0.901276 0.746233 
560 0.917019 0.759165 
565 0.933011 0.772136 
570 0.949178 0.785272 
575 0.965442 0.798493 
580 0.981837 0.811855 
585 0.998385 0.825276 
590 1.01517 0.838764 
595 1.03213 0.85237 
600 1.04928 0.866072 
605 1.06655 0.879905 
610 1.08409 0.893809 
615 1.10188 0.907695 
620 1.11976 0.921725 
625 1.13785 0.935843 
630 1.15612 0.950059 
635 1.17457 0.96443 
640 1.19316 0.978913 
645 1.21178 0.993522 
650 1.23058 1.00828 
655 1.2495 1.02315 
660 1.2686 1.03812 
665 1.28794 1.05313 
670 1.30736 1.06819 
675 1.32685 1.08346 
680 1.34656 1.09881 
685 1.36636 1.11434 
690 1.38618 1.13009 
695 1.40611 1.14588 
700 1.42625 1.16177 
705 1.44658 1.17776 
710 1.46703 1.1939 
715 1.48766 1.2101 
720 1.50849 1.22637 
725 1.52946 1.24277 
730 1.55048 1.25936 
735 1.57167 1.27595 
740 1.59302 1.29257 
745 1.61444 1.30931 
750 1.636 1.32613 
755 1.65769 1.343 
760 1.67946 1.36001 
765 1.70141 1.37708 
770 1.72356 1.39421 
775 1.74589 1.41141 
780 1.76836 1.4287 
785 1.79098 1.4462 
790 1.8136 1.46385 
795 1.83636 1.4816 
800 1.85935 1.4994 
805 1.88249 1.51727 
810 1.90571 1.53521 
815 1.92901 1.55325 
820 1.95228 1.5714 
825 1.97568 1.58973 
830 1.99932 1.60813 
835 2.02315 1.62657 
840 2.04703 1.64508 
845 2.07089 1.66381 
850 2.09491 1.68263 
855 2.11903 1.70153 
860 2.14326 1.72057 
865 2.16774 1.73963 
870 2.1922 1.75891 
875 2.21679 1.7783 
880 2.24143 1.79774 
885 2.2663 1.81723 
890 2.29121 1.83688 
895 2.31629 1.85664 
900 2.34133 1.87658 
905 2.36654 1.89661 
910 2.39182 1.91678 
915 2.41727 1.93699 
920 2.44287 1.95725 
925 2.46861 1.97762 
930 2.49458 1.99803 
935 2.52062 2.01858 
940 2.54662 2.03928 
945 2.57278 2.06012 
950 2.59901 2.08113 
955 2.62534 2.1022 
960 2.65183 2.12325 
965 2.67845 2.14443 
970 2.70518 2.16577 
975 2.73212 2.18712 
980 2.75907 2.20844 
985 2.78632 2.22978 
990 2.81367 2.25114 
995 2.84132 2.27243 
1000 2.86896 2.2939 
1005 2.89668 2.31549 
1010 2.9245 2.33717 
1015 2.9524 2.35895 
1020 2.98043 2.38082 
1025 3.00873 2.40278 
1030 3.03711 2.42481 
1035 3.06567 2.44695 
1040 3.09438 2.46915 
1045 3.12332 2.49141 
1050 3.15256 2.5137 
1055 3.18186 2.53613 
1060 3.21126 2.55861 
1065 3.24085 2.58108 
1070 3.27063 2.60358 
1075 3.30047 2.62617 
1080 3.33033 2.64886 
1085 3.36032 2.67161 
1090 3.39052 2.69422 
1095 3.42068 2.71705 
1100 3.4512 2.73975 
1105 3.48195 2.76248 
1110 3.5128 2.78526 
1115 3.54377 2.80809 
1120 3.57474 2.83104 
1125 3.60572 2.85413 
1130 3.637 2.87731 
1135 3.66834 2.90064 
1140 3.69983 2.92397 
1145 3.73143 2.94749 
1150 3.76309 2.97114 
1155 3.79502 2.99477 
1160 3.82699 3.01855 
1165 3.85927 3.04229 
1170 3.89183 3.06599 
1175 3.92464 3.08977 
1180 3.95765 3.11361 
1185 3.99078 3.13757 
1190 4.02404 3.16163 
1195 4.05742 3.18571 
1200 4.09121 3.20972 
1205 4.1251 3.23376 
1210 4.15913 3.25793 
1215 4.1933 3.28211 
1220 4.2278 3.30623 
1225 4.2625 3.3303 
1230 4.29732 3.35446 
1235 4.33212 3.3787 
1240 4.3668 3.40322 
1245 4.4015 3.42779 
1250 4.43614 3.45266 
1255 4.4713 3.47746 
1260 4.50667 3.5023 
1265 4.54204 3.5273 
1270 4.5777 3.55232 
1275 4.61347 3.57737 
1280 4.64942 3.60249 
1285 4.68546 3.62768 
1290 4.72168 3.65293 
1295 4.75816 3.67821 
1300 4.79508 3.70342 
1305 4.83215 3.72873 
1310 4.86938 3.75408 
1315 4.90677 3.77952 
1320 4.94431 3.8051 
1325 4.9818 3.83085 
1330 5.01933 3.85681 
1335 5.05698 3.88275 
1340 5.09483 3.90861 
1345 5.13277 3.93454 
1350 5.17076 3.9606 
1355 5.20881 3.98679 
1360 5.2466 4.01322 
1365 5.2845 4.03974 
1370 5.32243 4.06636 
1375 5.3605 4.09307 
1380 5.39853 4.11991 
1385 5.43659 4.14687 
1390 5.47493 4.17377 
1395 5.51338 4.2006 
1400 5.55197 4.22748 
1405 5.59071 4.25438 
1410 5.62933 4.28152 
1415 5.66817 4.30871 
1420 5.707 4.33604 
1425 5.74578 4.36352 
1430 5.78465 4.3911 
1435 5.8236 4.41875 
1440 5.86278 4.44633 
