"Opening": 001u.lammpstrj……
time msd[001] ave
5 0.000171137 0.000171137 
10 0.000683651 0.000683651 
15 0.0015363 0.0015363 
20 0.00272787 0.00272787 
25 0.00425763 0.00425763 
30 0.00612498 0.00612498 
35 0.00832925 0.00832925 
40 0.0108697 0.0108697 
45 0.0137455 0.0137455 
50 0.0169559 0.0169559 
55 0.0205 0.0205 
60 0.0243768 0.0243768 
65 0.0285863 0.0285863 
70 0.0331271 0.0331271 
75 0.0379983 0.0379983 
80 0.0431988 0.0431988 
85 0.0487267 0.0487267 
90 0.0545821 0.0545821 
95 0.0607646 0.0607646 
100 0.0672736 0.0672736 
105 0.0741087 0.0741087 
110 0.0812688 0.0812688 
115 0.0887531 0.0887531 
120 0.09656 0.09656 
125 0.104689 0.104689 
130 0.11314 0.11314 
135 0.121912 0.121912 
140 0.131005 0.131005 
145 0.140421 0.140421 
150 0.150159 0.150159 
155 0.160219 0.160219 
160 0.170602 0.170602 
165 0.181305 0.181305 
170 0.192328 0.192328 
175 0.203671 0.203671 
180 0.215335 0.215335 
185 0.227317 0.227317 
190 0.23962 0.23962 
195 0.252243 0.252243 
200 0.265186 0.265186 
205 0.278447 0.278447 
210 0.292025 0.292025 
215 0.305922 0.305922 
220 0.320136 0.320136 
225 0.334668 0.334668 
230 0.349519 0.349519 
235 0.36469 0.36469 
240 0.38018 0.38018 
245 0.395988 0.395988 
250 0.412115 0.412115 
255 0.42856 0.42856 
260 0.445325 0.445325 
265 0.462412 0.462412 
270 0.479823 0.479823 
275 0.497556 0.497556 
280 0.515611 0.515611 
285 0.533988 0.533988 
290 0.552688 0.552688 
295 0.571714 0.571714 
300 0.591068 0.591068 
305 0.610749 0.610749 
310 0.630753 0.630753 
315 0.651081 0.651081 
320 0.671732 0.671732 
325 0.692706 0.692706 
330 0.714004 0.714004 
335 0.735627 0.735627 
340 0.757578 0.757578 
345 0.779855 0.779855 
350 0.802462 0.802462 
355 0.825401 0.825401 
360 0.848671 0.848671 
365 0.872273 0.872273 
370 0.896208 0.896208 
375 0.920474 0.920474 
380 0.945068 0.945068 
385 0.96999 0.96999 
390 0.995235 0.995235 
395 1.0208 1.0208 
400 1.04669 1.04669 
405 1.0729 1.0729 
410 1.09943 1.09943 
415 1.12628 1.12628 
420 1.15344 1.15344 
425 1.18092 1.18092 
430 1.20871 1.20871 
435 1.23681 1.23681 
440 1.26522 1.26522 
445 1.29393 1.29393 
450 1.32296 1.32296 
455 1.3523 1.3523 
460 1.38195 1.38195 
465 1.41191 1.41191 
470 1.44217 1.44217 
475 1.47275 1.47275 
480 1.50364 1.50364 
485 1.53484 1.53484 
490 1.56636 1.56636 
495 1.59819 1.59819 
500 1.63034 1.63034 
505 1.66281 1.66281 
510 1.69559 1.69559 
515 1.72868 1.72868 
520 1.76208 1.76208 
525 1.79578 1.79578 
530 1.8298 1.8298 
535 1.86413 1.86413 
540 1.89875 1.89875 
545 1.93367 1.93367 
550 1.96887 1.96887 
555 2.00436 2.00436 
560 2.04014 2.04014 
565 2.07621 2.07621 
570 2.11259 2.11259 
575 2.14926 2.14926 
580 2.18625 2.18625 
585 2.22356 2.22356 
590 2.26119 2.26119 
595 2.29915 2.29915 
600 2.33743 2.33743 
605 2.37602 2.37602 
610 2.41492 2.41492 
615 2.45415 2.45415 
620 2.49369 2.49369 
625 2.53355 2.53355 
630 2.57372 2.57372 
635 2.61421 2.61421 
640 2.655 2.655 
645 2.6961 2.6961 
650 2.73751 2.73751 
655 2.77921 2.77921 
660 2.82122 2.82122 
665 2.86353 2.86353 
670 2.90613 2.90613 
675 2.94903 2.94903 
680 2.99223 2.99223 
685 3.03573 3.03573 
690 3.07952 3.07952 
695 3.1236 3.1236 
700 3.16798 3.16798 
705 3.21266 3.21266 
710 3.25763 3.25763 
715 3.3029 3.3029 
720 3.34848 3.34848 
725 3.39437 3.39437 
730 3.44055 3.44055 
735 3.48704 3.48704 
740 3.53383 3.53383 
745 3.58092 3.58092 
750 3.62829 3.62829 
755 3.67595 3.67595 
760 3.7239 3.7239 
765 3.77213 3.77213 
770 3.82066 3.82066 
775 3.86949 3.86949 
780 3.91863 3.91863 
785 3.96807 3.96807 
790 4.01781 4.01781 
795 4.06786 4.06786 
800 4.11823 4.11823 
805 4.1689 4.1689 
810 4.21988 4.21988 
815 4.27117 4.27117 
820 4.32276 4.32276 
825 4.37467 4.37467 
830 4.42688 4.42688 
835 4.47941 4.47941 
840 4.53225 4.53225 
845 4.58542 4.58542 
850 4.63891 4.63891 
855 4.69273 4.69273 
860 4.74687 4.74687 
865 4.80133 4.80133 
870 4.85611 4.85611 
875 4.91121 4.91121 
880 4.96662 4.96662 
885 5.02236 5.02236 
890 5.07842 5.07842 
895 5.13481 5.13481 
900 5.19152 5.19152 
905 5.24854 5.24854 
910 5.30588 5.30588 
