time msd[001] ave
5 0.00088075 0.000856047 
10 0.00216182 0.00205862 
15 0.00380218 0.00358173 
20 0.00576989 0.00538546 
25 0.00806892 0.00746185 
30 0.0107192 0.00983817 
35 0.0137353 0.0125374 
40 0.0170591 0.0155068 
45 0.0207825 0.0188482 
50 0.0248461 0.0224835 
55 0.0292363 0.0263951 
60 0.0340266 0.0306316 
65 0.0391507 0.0351734 
70 0.0446473 0.0400002 
75 0.0504755 0.0451404 
80 0.0566587 0.050628 
85 0.0632318 0.0564597 
90 0.0701232 0.0625749 
95 0.0772787 0.0689744 
100 0.0848035 0.075666 
105 0.0926656 0.0826571 
110 0.100854 0.0898832 
115 0.109293 0.0973657 
120 0.118152 0.105147 
125 0.127428 0.113266 
130 0.13701 0.121614 
135 0.14697 0.130251 
140 0.157245 0.13915 
145 0.167959 0.148314 
150 0.179006 0.157673 
155 0.190388 0.167241 
160 0.202111 0.177016 
165 0.214158 0.187061 
170 0.226518 0.197378 
175 0.239226 0.208047 
180 0.252248 0.219014 
185 0.265631 0.230246 
190 0.279331 0.241824 
195 0.293291 0.253711 
200 0.307624 0.265889 
205 0.32229 0.278332 
210 0.337373 0.291045 
215 0.352625 0.304024 
220 0.368145 0.317407 
225 0.383928 0.331154 
230 0.400001 0.345227 
235 0.416248 0.359627 
240 0.432706 0.374344 
245 0.449542 0.389362 
250 0.466746 0.404698 
255 0.484304 0.420441 
260 0.502183 0.436531 
265 0.520497 0.452937 
270 0.539116 0.469774 
275 0.558109 0.486897 
280 0.577394 0.504384 
285 0.597042 0.522231 
290 0.617014 0.540297 
295 0.637269 0.558653 
300 0.657817 0.577357 
305 0.678624 0.596427 
310 0.699844 0.615815 
315 0.721419 0.63551 
320 0.743314 0.655527 
325 0.765668 0.675829 
330 0.788576 0.696368 
335 0.811772 0.717243 
340 0.835275 0.738564 
345 0.859257 0.760146 
350 0.883433 0.782115 
355 0.907955 0.804394 
360 0.932782 0.82695 
365 0.958024 0.849795 
370 0.983559 0.872979 
375 1.00952 0.896419 
380 1.03588 0.92002 
385 1.06256 0.943962 
390 1.08947 0.968183 
395 1.11683 0.992678 
400 1.14455 1.0174 
405 1.17277 1.04237 
410 1.20127 1.06757 
415 1.23018 1.09288 
420 1.2593 1.11858 
425 1.28872 1.14455 
430 1.31852 1.17084 
435 1.34866 1.19742 
440 1.37913 1.22428 
445 1.41002 1.25146 
450 1.44121 1.27898 
455 1.47286 1.30672 
460 1.50488 1.33479 
465 1.53732 1.3631 
470 1.57014 1.39153 
475 1.60346 1.4201 
480 1.63707 1.44893 
485 1.67103 1.47809 
490 1.70522 1.50756 
495 1.73978 1.53738 
500 1.77469 1.56762 
505 1.81012 1.5981 
510 1.8458 1.62884 
515 1.88165 1.65996 
520 1.91793 1.69133 
525 1.95446 1.72305 
530 1.99127 1.7551 
535 2.02853 1.78731 
540 2.06591 1.81994 
545 2.1036 1.85294 
550 2.14151 1.88614 
555 2.17956 1.91974 
560 2.21813 1.95343 
565 2.25715 1.98721 
570 2.29619 2.02149 
575 2.33537 2.05605 
580 2.37495 2.09093 
585 2.4151 2.12595 
590 2.45599 2.16107 
595 2.49728 2.19647 
600 2.53894 2.2321 
605 2.58059 2.26822 
610 2.62277 2.3046 
615 2.66548 2.34119 
620 2.70856 2.37814 
625 2.75216 2.41532 
630 2.79605 2.45273 
635 2.84028 2.49044 
640 2.88497 2.52841 
645 2.92979 2.56668 
650 2.97503 2.60525 
655 3.02058 2.6441 
660 3.06667 2.68314 
665 3.11332 2.72218 
670 3.16032 2.76148 
675 3.2075 2.80113 
680 3.2551 2.84092 
685 3.30292 2.88105 
690 3.35089 2.92163 
695 3.3993 2.96234 
700 3.44814 3.00324 
705 3.49732 3.04439 
710 3.54687 3.0859 
715 3.59669 3.12765 
720 3.64695 3.16964 
725 3.69745 3.21186 
730 3.74828 3.25448 
735 3.79963 3.29714 
740 3.85145 3.33985 
745 3.90352 3.38286 
750 3.95603 3.42602 
755 4.00898 3.46937 
760 4.06227 3.51304 
765 4.11597 3.55687 
770 4.17003 3.60094 
775 4.22441 3.6453 
780 4.27927 3.68995 
785 4.33438 3.73509 
790 4.38966 3.78066 
795 4.44539 3.82641 
800 4.50147 3.87231 
805 4.55794 3.91842 
810 4.61478 3.96473 
815 4.67183 4.01141 
820 4.72892 4.05863 
825 4.78626 4.1063 
830 4.84404 4.15421 
835 4.9023 4.20219 
840 4.96121 4.25022 
845 5.02001 4.29889 
850 5.07917 4.34784 
855 5.13879 4.39701 
860 5.19875 4.44656 
865 5.25927 4.49632 
870 5.31972 4.54667 
875 5.38039 4.5974 
880 5.44145 4.64838 
885 5.50284 4.69963 
890 5.56428 4.75151 
895 5.62611 4.80378 
900 5.68806 4.8566 
905 5.75034 4.90972 
910 5.8129 4.96314 
915 5.87566 5.01709 
920 5.93877 5.07125 
925 6.00235 5.12558 
930 6.06659 5.17987 
935 6.13097 5.23455 
940 6.19562 5.28951 
945 6.26082 5.34488 
950 6.3263 5.4007 
955 6.39227 5.45665 
960 6.45881 5.5127 
965 6.52559 5.56916 
970 6.59267 5.62606 
975 6.66019 5.68311 
980 6.72808 5.74034 
985 6.79652 5.79771 
990 6.86547 5.85517 
995 6.93519 5.91259 
1000 7.00498 5.97061 
1005 7.07488 6.0291 
1010 7.14512 6.0879 
1015 7.21546 6.14727 
1020 7.28623 6.207 
1025 7.35739 6.26718 
1030 7.42881 6.3277 
1035 7.50064 6.38852 
1040 7.57288 6.44957 
1045 7.64553 6.51084 
1050 7.71873 6.57236 
1055 7.79235 6.63419 
1060 7.86639 6.69634 
1065 7.94103 6.75862 
1070 8.01602 6.82114 
1075 8.0911 6.88413 
1080 8.16636 6.94748 
1085 8.24205 7.01114 
1090 8.3185 7.07464 
1095 8.39504 7.13872 
1100 8.47252 7.20262 
1105 8.55025 7.26686 
1110 8.62841 7.33145 
1115 8.70679 7.39638 
1120 8.78533 7.46181 
1125 8.86397 7.52766 
1130 8.94303 7.59377 
1135 9.02219 7.66034 
1140 9.10174 7.72703 
1145 9.18142 7.79426 
1150 9.26126 7.86194 
1155 9.3415 7.92992 
1160 9.42175 7.99841 
1165 9.50273 8.06686 
1170 9.58417 8.13532 
1175 9.66592 8.20398 
1180 9.74803 8.27278 
1185 9.83038 8.34198 
1190 9.91322 8.41141 
1195 9.99643 8.48104 
1200 10.0805 8.55046 
1205 10.1652 8.61996 
1210 10.2503 8.6897 
1215 10.3359 8.75945 
1220 10.4226 8.829 
1225 10.5098 8.89859 
1230 10.5973 8.9685 
1235 10.6852 9.03869 
1240 10.7729 9.10954 
1245 10.8605 9.18084 
1250 10.9482 9.2527 
1255 11.0366 9.32454 
1260 11.1256 9.39652 
