Analyse from dana.cpp: 
Num_files = 1; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 100 * 10000 (Num_frames * steps_frame )
time	Lcm[Fave][P000]	Lcm[F001][P000]	
aot	0 	0 	
100	-1428.9 	-1428.9 	
200	907.749 	907.749 	
300	-879.957 	-879.957 	
400	213.717 	213.717 	
500	-1030.95 	-1030.95 	
600	191.085 	191.085 	
700	-534.947 	-534.947 	
800	620.693 	620.693 	
900	-977.033 	-977.033 	
1000	502.119 	502.119 	
1100	335.185 	335.185 	
1200	645.86 	645.86 	
1300	143.286 	143.286 	
1400	173.633 	173.633 	
1500	-989.784 	-989.784 	
1600	-457.742 	-457.742 	
1700	434.092 	434.092 	
1800	1418.64 	1418.64 	
1900	577.704 	577.704 	
2000	-797.212 	-797.212 	
2100	-71.4291 	-71.4291 	
2200	-766.056 	-766.056 	
2300	1511.27 	1511.27 	
2400	-316.109 	-316.109 	
2500	86.6585 	86.6585 	
2600	240.629 	240.629 	
2700	8.54943 	8.54943 	
2800	-856.9 	-856.9 	
2900	-783.704 	-783.704 	
3000	431.245 	431.245 	
3100	55.9175 	55.9175 	
3200	-52.3495 	-52.3495 	
3300	-149.495 	-149.495 	
3400	964.533 	964.533 	
3500	-110.513 	-110.513 	
3600	-579.065 	-579.065 	
3700	110.32 	110.32 	
3800	-41.9286 	-41.9286 	
3900	-329.207 	-329.207 	
4000	-456.843 	-456.843 	
4100	27.971 	27.971 	
4200	-440.367 	-440.367 	
4300	1030.56 	1030.56 	
4400	-83.3236 	-83.3236 	
4500	-242.044 	-242.044 	
4600	-1583.62 	-1583.62 	
4700	520.191 	520.191 	
4800	-76.0063 	-76.0063 	
4900	-91.5437 	-91.5437 	
5000	24.193 	24.193 	
5100	75.0864 	75.0864 	
5200	407.507 	407.507 	
5300	-56.7733 	-56.7733 	
5400	-781.963 	-781.963 	
5500	-254.391 	-254.391 	
5600	250.383 	250.383 	
5700	-477.9 	-477.9 	
5800	-1241.13 	-1241.13 	
5900	-1334.45 	-1334.45 	
6000	623.646 	623.646 	
6100	274.835 	274.835 	
6200	478.052 	478.052 	
6300	1314.56 	1314.56 	
6400	-80.4729 	-80.4729 	
6500	1167.14 	1167.14 	
6600	-712.511 	-712.511 	
6700	1203.88 	1203.88 	
6800	-893.949 	-893.949 	
6900	119.881 	119.881 	
7000	856.912 	856.912 	
7100	1043.08 	1043.08 	
7200	-257.02 	-257.02 	
7300	-1444.4 	-1444.4 	
7400	-1118.65 	-1118.65 	
7500	-837.368 	-837.368 	
7600	-703.145 	-703.145 	
7700	334.382 	334.382 	
7800	509.916 	509.916 	
7900	-81.2986 	-81.2986 	
8000	1304.77 	1304.77 	
8100	-521.169 	-521.169 	
8200	-1437.26 	-1437.26 	
8300	-295.59 	-295.59 	
8400	742.51 	742.51 	
8500	631.513 	631.513 	
8600	-812.481 	-812.481 	
8700	1559.67 	1559.67 	
8800	-62.098 	-62.098 	
8900	-822.641 	-822.641 	
9000	-5.07332 	-5.07332 	
9100	1215 	1215 	
9200	13.0755 	13.0755 	
9300	1497.33 	1497.33 	
9400	-197.846 	-197.846 	
9500	372.174 	372.174 	
9600	-1365.7 	-1365.7 	
9700	1666.35 	1666.35 	
9800	346.904 	346.904 	
9900	-245.255 	-245.255 	
10000	50.0659 	50.0659 	
