Analyse from dana.cpp: 
Num_files = 1; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 100 * 10000 (Num_frames * steps_frame )
time	MSD[Fave][P000]	MSD[F001][P000]	
100	0.00504781 	0.00504781 	
200	0.00921366 	0.00921366 	
300	0.0143571 	0.0143571 	
400	0.0209819 	0.0209819 	
500	0.0279883 	0.0279883 	
600	0.0363099 	0.0363099 	
700	0.0452997 	0.0452997 	
800	0.0564632 	0.0564632 	
900	0.0666018 	0.0666018 	
1000	0.0762069 	0.0762069 	
1100	0.0879436 	0.0879436 	
1200	0.101675 	0.101675 	
1300	0.115723 	0.115723 	
1400	0.131875 	0.131875 	
1500	0.148012 	0.148012 	
1600	0.167892 	0.167892 	
1700	0.190609 	0.190609 	
1800	0.215964 	0.215964 	
1900	0.243756 	0.243756 	
2000	0.271689 	0.271689 	
2100	0.299704 	0.299704 	
2200	0.329884 	0.329884 	
2300	0.363336 	0.363336 	
2400	0.397104 	0.397104 	
2500	0.430005 	0.430005 	
2600	0.461179 	0.461179 	
2700	0.492735 	0.492735 	
2800	0.522556 	0.522556 	
2900	0.559069 	0.559069 	
3000	0.592255 	0.592255 	
3100	0.624186 	0.624186 	
3200	0.653964 	0.653964 	
3300	0.684046 	0.684046 	
3400	0.714476 	0.714476 	
3500	0.740362 	0.740362 	
3600	0.766482 	0.766482 	
3700	0.790592 	0.790592 	
3800	0.813824 	0.813824 	
3900	0.836776 	0.836776 	
4000	0.85877 	0.85877 	
4100	0.883853 	0.883853 	
4200	0.907009 	0.907009 	
4300	0.930902 	0.930902 	
4400	0.957151 	0.957151 	
4500	0.988 	0.988 	
4600	1.01665 	1.01665 	
4700	1.04461 	1.04461 	
4800	1.07387 	1.07387 	
4900	1.09967 	1.09967 	
5000	1.13391 	1.13391 	
