Analyse from dana.cpp: 
Num_files = 1; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 100 * 10000 (Num_frames * steps_frame )
time	Re[Fave][P000]	Re[F001][P000]	
aot	0 	0 	
100	8.8343 	8.8343 	
200	8.7247 	8.7247 	
300	8.1097 	8.1097 	
400	7.5677 	7.5677 	
500	7.8465 	7.8465 	
600	7.8564 	7.8564 	
700	7.9844 	7.9844 	
800	7.2503 	7.2503 	
900	7.4049 	7.4049 	
1000	6.1472 	6.1472 	
1100	5.7854 	5.7854 	
1200	6.1262 	6.1262 	
1300	6.9004 	6.9004 	
1400	6.727 	6.727 	
1500	6.8305 	6.8305 	
1600	7.2343 	7.2343 	
1700	7.5743 	7.5743 	
1800	7.8239 	7.8239 	
1900	7.6572 	7.6572 	
2000	7.3738 	7.3738 	
2100	7.0901 	7.0901 	
2200	7.0447 	7.0447 	
2300	6.7046 	6.7046 	
2400	6.3981 	6.3981 	
2500	6.021 	6.021 	
2600	5.876 	5.876 	
2700	5.2889 	5.2889 	
2800	4.1821 	4.1821 	
2900	3.4512 	3.4512 	
3000	4.1882 	4.1882 	
3100	4.6147 	4.6147 	
3200	4.826 	4.826 	
3300	5.2133 	5.2133 	
3400	5.8012 	5.8012 	
3500	5.7098 	5.7098 	
3600	4.6125 	4.6125 	
3700	4.8714 	4.8714 	
3800	4.9968 	4.9968 	
3900	5.3972 	5.3972 	
4000	4.4652 	4.4652 	
4100	4.0384 	4.0384 	
4200	3.6868 	3.6868 	
4300	3.6028 	3.6028 	
4400	3.557 	3.557 	
4500	3.8896 	3.8896 	
4600	4.4471 	4.4471 	
4700	5.2517 	5.2517 	
4800	5.7641 	5.7641 	
4900	5.469 	5.469 	
5000	5.2088 	5.2088 	
5100	5.8903 	5.8903 	
5200	5.4372 	5.4372 	
5300	5.8241 	5.8241 	
5400	4.5252 	4.5252 	
5500	4.6704 	4.6704 	
5600	4.4172 	4.4172 	
5700	5.4027 	5.4027 	
5800	5.397 	5.397 	
5900	4.7 	4.7 	
6000	5.4566 	5.4566 	
6100	5.7753 	5.7753 	
6200	5.4651 	5.4651 	
6300	6.1538 	6.1538 	
6400	5.9861 	5.9861 	
6500	6.5764 	6.5764 	
6600	6.9037 	6.9037 	
6700	6.6982 	6.6982 	
6800	5.7496 	5.7496 	
6900	4.9915 	4.9915 	
7000	5.0351 	5.0351 	
7100	4.309 	4.309 	
7200	3.4357 	3.4357 	
7300	3.5931 	3.5931 	
7400	3.1744 	3.1744 	
7500	3.6749 	3.6749 	
7600	3.6545 	3.6545 	
7700	4.3154 	4.3154 	
7800	5.7468 	5.7468 	
7900	5.6235 	5.6235 	
8000	7.599 	7.599 	
8100	8.2448 	8.2448 	
8200	9.2559 	9.2559 	
8300	9.5822 	9.5822 	
8400	9.788 	9.788 	
8500	10.9027 	10.9027 	
8600	12.0726 	12.0726 	
8700	12.4052 	12.4052 	
8800	12.6951 	12.6951 	
8900	13.4721 	13.4721 	
9000	13.2078 	13.2078 	
9100	13.5746 	13.5746 	
9200	13.9221 	13.9221 	
9300	14.3693 	14.3693 	
9400	15.6819 	15.6819 	
9500	14.8037 	14.8037 	
9600	14.9922 	14.9922 	
9700	15.4656 	15.4656 	
9800	14.8569 	14.8569 	
9900	15.0368 	15.0368 	
10000	14.704 	14.704 	
