Analyse from dana.cpp: 
Num_files = 1; nAtoms = 80; steps_frame  = 10000 * 10 (for cut[0]); 
md_dt = 0.001; RunTime = 100 * 10000 (Num_frames * steps_frame )
time	Rg[Fave][P000]	Rg[F001][P000]	
aot	0 	0 	
100	4.0603 	4.0603 	
200	4.09931 	4.09931 	
300	4.07367 	4.07367 	
400	4.07956 	4.07956 	
500	4.04964 	4.04964 	
600	4.03812 	4.03812 	
700	4.09327 	4.09327 	
800	4.09604 	4.09604 	
900	4.15568 	4.15568 	
1000	4.1496 	4.1496 	
1100	4.13882 	4.13882 	
1200	4.15677 	4.15677 	
1300	4.13236 	4.13236 	
1400	4.12075 	4.12075 	
1500	4.1239 	4.1239 	
1600	4.12316 	4.12316 	
1700	4.15626 	4.15626 	
1800	4.13752 	4.13752 	
1900	4.17424 	4.17424 	
2000	4.21599 	4.21599 	
2100	4.20555 	4.20555 	
2200	4.16518 	4.16518 	
2300	4.17495 	4.17495 	
2400	4.11319 	4.11319 	
2500	4.07983 	4.07983 	
2600	4.02301 	4.02301 	
2700	4.01329 	4.01329 	
2800	3.98574 	3.98574 	
2900	4.03083 	4.03083 	
3000	4.11164 	4.11164 	
3100	4.15901 	4.15901 	
3200	4.19414 	4.19414 	
3300	4.17306 	4.17306 	
3400	4.10874 	4.10874 	
3500	4.08531 	4.08531 	
3600	4.09205 	4.09205 	
3700	4.09341 	4.09341 	
3800	4.1089 	4.1089 	
3900	4.13275 	4.13275 	
4000	4.11889 	4.11889 	
4100	4.03307 	4.03307 	
4200	4.02096 	4.02096 	
4300	4.02317 	4.02317 	
4400	4.01185 	4.01185 	
4500	4.09115 	4.09115 	
4600	4.07014 	4.07014 	
4700	4.10662 	4.10662 	
4800	4.15586 	4.15586 	
4900	4.10943 	4.10943 	
5000	4.08728 	4.08728 	
5100	4.08134 	4.08134 	
5200	4.04265 	4.04265 	
5300	4.12186 	4.12186 	
5400	4.01527 	4.01527 	
5500	4.01648 	4.01648 	
5600	4.00498 	4.00498 	
5700	4.00424 	4.00424 	
5800	3.99881 	3.99881 	
5900	3.96507 	3.96507 	
6000	3.95986 	3.95986 	
6100	3.98795 	3.98795 	
6200	3.94101 	3.94101 	
6300	3.9455 	3.9455 	
6400	3.92639 	3.92639 	
6500	3.93401 	3.93401 	
6600	3.89917 	3.89917 	
6700	3.86076 	3.86076 	
6800	3.83922 	3.83922 	
6900	3.8341 	3.8341 	
7000	3.81558 	3.81558 	
7100	3.83466 	3.83466 	
7200	3.86806 	3.86806 	
7300	3.84985 	3.84985 	
7400	3.81753 	3.81753 	
7500	3.88611 	3.88611 	
7600	3.91643 	3.91643 	
7700	3.96347 	3.96347 	
7800	3.99075 	3.99075 	
7900	3.9746 	3.9746 	
8000	4.00168 	4.00168 	
8100	3.9662 	3.9662 	
8200	4.03734 	4.03734 	
8300	3.99685 	3.99685 	
8400	3.97574 	3.97574 	
8500	3.98821 	3.98821 	
8600	3.99995 	3.99995 	
8700	3.9629 	3.9629 	
8800	3.96162 	3.96162 	
8900	3.93877 	3.93877 	
9000	3.96253 	3.96253 	
9100	3.93244 	3.93244 	
9200	3.93012 	3.93012 	
9300	3.91566 	3.91566 	
9400	3.91781 	3.91781 	
9500	3.87525 	3.87525 	
9600	3.91533 	3.91533 	
9700	3.9125 	3.9125 	
9800	3.90431 	3.90431 	
9900	3.91668 	3.91668 	
10000	3.88069 	3.88069 	
