time ave[1][atoms] 
10 1.34355 
20 2.58911 
30 3.82765 
40 5.06459 
50 6.30002 
60 7.53405 
70 8.76758 
80 10.0003 
90 11.2332 
100 12.4665 
110 13.6994 
120 14.9322 
130 16.1652 
140 17.3984 
150 18.6313 
160 19.8636 
170 21.0963 
180 22.3289 
190 23.5612 
200 24.794 
210 26.0264 
220 27.2581 
230 28.49 
240 29.7219 
250 30.9532 
260 32.1841 
270 33.4147 
280 34.6452 
290 35.8758 
300 37.106 
310 38.3347 
320 39.5628 
330 40.7909 
340 42.0185 
350 43.2454 
360 44.4728 
370 45.6999 
380 46.9278 
390 48.1564 
400 49.3855 
410 50.6149 
420 51.844 
430 53.0724 
440 54.3003 
450 55.5281 
460 56.7563 
470 57.9841 
480 59.2127 
490 60.4412 
500 61.6693 
510 62.897 
520 64.1246 
530 65.3525 
540 66.5805 
550 67.8085 
560 69.0369 
570 70.2642 
580 71.491 
590 72.7176 
600 73.9437 
610 75.1694 
620 76.3953 
630 77.621 
640 78.847 
650 80.0731 
660 81.2989 
670 82.5246 
680 83.7498 
690 84.9753 
700 86.2009 
710 87.4273 
720 88.6526 
730 89.878 
740 91.1031 
750 92.3291 
760 93.5554 
770 94.7811 
780 96.0065 
790 97.2313 
800 98.4569 
810 99.6843 
820 100.911 
830 102.138 
840 103.365 
850 104.593 
860 105.82 
870 107.048 
880 108.275 
890 109.504 
900 110.733 
910 111.963 
920 113.192 
930 114.422 
940 115.652 
950 116.882 
960 118.112 
970 119.342 
980 120.571 
990 121.801 
1000 123.031 
1010 124.262 
1020 125.492 
1030 126.722 
1040 127.952 
1050 129.182 
1060 130.411 
1070 131.642 
1080 132.87 
1090 134.099 
1100 135.329 
1110 136.557 
1120 137.787 
1130 139.016 
1140 140.244 
1150 141.474 
1160 142.703 
1170 143.932 
1180 145.162 
1190 146.392 
1200 147.623 
1210 148.853 
1220 150.083 
1230 151.313 
1240 152.544 
1250 153.776 
1260 155.008 
1270 156.24 
1280 157.472 
1290 158.706 
1300 159.94 
1310 161.173 
1320 162.407 
1330 163.639 
1340 164.872 
1350 166.104 
1360 167.336 
1370 168.568 
1380 169.801 
1390 171.034 
1400 172.268 
1410 173.502 
1420 174.735 
1430 175.968 
1440 177.201 
1450 178.436 
1460 179.671 
1470 180.906 
1480 182.14 
1490 183.373 
1500 184.607 
1510 185.842 
1520 187.077 
1530 188.313 
1540 189.55 
1550 190.787 
1560 192.026 
1570 193.263 
1580 194.5 
1590 195.737 
1600 196.973 
1610 198.209 
1620 199.445 
1630 200.681 
1640 201.916 
1650 203.149 
1660 204.383 
1670 205.618 
1680 206.852 
1690 208.086 
1700 209.321 
1710 210.556 
1720 211.79 
1730 213.026 
1740 214.261 
1750 215.497 
1760 216.732 
1770 217.967 
1780 219.202 
1790 220.438 
1800 221.672 
1810 222.907 
1820 224.141 
1830 225.375 
1840 226.608 
1850 227.843 
1860 229.078 
1870 230.311 
1880 231.543 
1890 232.774 
1900 234.005 
1910 235.237 
1920 236.469 
1930 237.7 
1940 238.933 
1950 240.165 
1960 241.397 
1970 242.629 
1980 243.86 
1990 245.092 
2000 246.323 
2010 247.554 
2020 248.785 
2030 250.017 
2040 251.247 
2050 252.478 
2060 253.709 
2070 254.94 
2080 256.172 
2090 257.403 
2100 258.634 
2110 259.866 
2120 261.096 
2130 262.327 
2140 263.559 
2150 264.79 
2160 266.023 
2170 267.255 
2180 268.488 
2190 269.72 
2200 270.953 
2210 272.186 
2220 273.419 
2230 274.652 
2240 275.886 
2250 277.12 
2260 278.354 
2270 279.589 
2280 280.823 
2290 282.058 
2300 283.293 
2310 284.527 
2320 285.762 
2330 286.997 
2340 288.23 
2350 289.465 
2360 290.698 
2370 291.932 
2380 293.166 
2390 294.4 
2400 295.634 
2410 296.866 
2420 298.098 
2430 299.33 
2440 300.563 
2450 301.795 
2460 303.027 
2470 304.257 
2480 305.486 
2490 306.715 
2500 307.943 
2510 309.172 
2520 310.401 
2530 311.631 
2540 312.861 
2550 314.09 
2560 315.319 
2570 316.548 
2580 317.777 
2590 319.007 
2600 320.237 
2610 321.465 
2620 322.694 
2630 323.923 
2640 325.152 
2650 326.381 
2660 327.61 
2670 328.84 
2680 330.071 
2690 331.3 
2700 332.53 
2710 333.76 
2720 334.989 
2730 336.217 
2740 337.445 
2750 338.673 
2760 339.902 
2770 341.129 
2780 342.357 
2790 343.586 
2800 344.816 
2810 346.045 
2820 347.274 
2830 348.504 
2840 349.733 
2850 350.963 
2860 352.193 
2870 353.422 
2880 354.652 
2890 355.882 
2900 357.111 
2910 358.341 
2920 359.573 
2930 360.805 
2940 362.037 
2950 363.27 
2960 364.503 
2970 365.737 
2980 366.97 
2990 368.204 
3000 369.439 
3010 370.672 
3020 371.906 
3030 373.138 
3040 374.369 
3050 375.6 
3060 376.83 
3070 378.059 
3080 379.289 
3090 380.52 
3100 381.75 
3110 382.979 
3120 384.208 
3130 385.434 
3140 386.661 
3150 387.888 
3160 389.114 
3170 390.341 
3180 391.567 
3190 392.792 
3200 394.018 
3210 395.244 
3220 396.469 
3230 397.692 
3240 398.916 
3250 400.14 
3260 401.365 
3270 402.59 
3280 403.816 
3290 405.042 
3300 406.267 
3310 407.49 
3320 408.713 
3330 409.937 
3340 411.161 
3350 412.384 
3360 413.607 
3370 414.83 
3380 416.054 
3390 417.279 
3400 418.505 
3410 419.733 
3420 420.959 
3430 422.186 
3440 423.413 
3450 424.639 
3460 425.864 
3470 427.091 
3480 428.317 
3490 429.543 
3500 430.769 
3510 431.995 
3520 433.221 
3530 434.447 
3540 435.674 
3550 436.9 
3560 438.126 
3570 439.351 
3580 440.575 
3590 441.8 
3600 443.026 
3610 444.252 
3620 445.479 
3630 446.706 
3640 447.934 
3650 449.162 
3660 450.391 
3670 451.619 
3680 452.849 
3690 454.078 
3700 455.306 
3710 456.537 
3720 457.767 
3730 458.998 
3740 460.229 
3750 461.46 
3760 462.691 
3770 463.922 
3780 465.155 
3790 466.388 
3800 467.621 
3810 468.854 
3820 470.088 
3830 471.322 
3840 472.555 
3850 473.79 
3860 475.025 
3870 476.26 
3880 477.494 
3890 478.728 
3900 479.962 
3910 481.196 
3920 482.431 
3930 483.668 
3940 484.903 
3950 486.138 
3960 487.372 
3970 488.605 
3980 489.838 
3990 491.071 
4000 492.303 
4010 493.534 
4020 494.766 
4030 495.999 
4040 497.231 
4050 498.464 
4060 499.699 
4070 500.933 
4080 502.167 
4090 503.402 
4100 504.638 
4110 505.875 
4120 507.113 
4130 508.35 
4140 509.588 
4150 510.826 
4160 512.063 
4170 513.302 
4180 514.539 
4190 515.777 
4200 517.014 
4210 518.25 
4220 519.486 
4230 520.723 
4240 521.961 
4250 523.2 
4260 524.438 
4270 525.676 
4280 526.913 
4290 528.151 
4300 529.389 
4310 530.626 
4320 531.863 
4330 533.102 
4340 534.342 
4350 535.583 
4360 536.825 
4370 538.067 
4380 539.31 
4390 540.554 
4400 541.798 
4410 543.043 
4420 544.289 
4430 545.535 
4440 546.781 
4450 548.028 
4460 549.275 
4470 550.524 
4480 551.773 
4490 553.022 
4500 554.27 
4510 555.519 
4520 556.768 
4530 558.018 
4540 559.267 
4550 560.519 
4560 561.77 
4570 563.021 
4580 564.271 
4590 565.523 
4600 566.774 
4610 568.025 
4620 569.276 
4630 570.528 
4640 571.78 
4650 573.032 
